t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
5.1260,103.8516,-781.63,9722.39,-9.08,-1191.51,6958.80,1766.18
5.1360,101.9521,144.33,10087.34,-818.86,3848.13,12155.34,-4057.99
5.1460,99.4044,349.05,9791.63,-1369.99,1167.97,8115.98,-3574.52
5.1570,98.9231,373.98,9615.01,-117.88,473.66,8614.16,4890.58
5.1670,95.4571,618.88,9540.20,-1209.32,1598.48,9116.26,-5575.08
5.1770,92.3380,705.75,9641.07,-773.09,1053.23,10212.65,971.84
5.1870,88.3065,712.88,9398.77,-1053.10,741.38,8025.76,-2173.15
5.1980,79.6045,1020.23,9365.81,-916.23,2249.65,9179.02,-368.73
5.2080,77.9022,1249.83,9471.95,-1443.18,2168.25,10073.39,-3550.99
5.2180,75.5135,1407.63,9244.87,-1454.04,2038.80,7958.10,-1497.48
5.2280,72.2034,635.18,9453.14,-1304.84,-2454.60,10633.35,-708.04
5.2390,68.3324,626.81,9417.03,-1141.55,593.30,9212.37,-488.37
5.2490,65.1606,1193.40,9589.47,-1277.85,3459.79,10566.67,-1823.06
5.2590,61.1764,1351.89,9467.59,-996.39,1985.85,8776.95,129.45
5.2690,56.8125,1681.68,9139.96,-1066.99,3000.83,7283.40,-1349.40
5.2800,52.4137,781.66,9407.81,140.80,-2818.43,10925.59,4971.97
5.2900,47.6966,1738.38,9415.86,221.69,5565.27,9461.46,545.25
5.3000,43.9326,2292.33,9491.54,-121.36,4508.12,9920.41,-1493.55
5.3100,39.0718,2441.68,9404.50,-575.65,3039.08,8911.30,-2392.82
5.3210,36.1732,2492.12,9321.84,-1653.99,2693.89,8853.44,-5967.35
5.3310,31.0362,2965.14,9237.17,-1244.74,4857.23,8757.34,392.27
5.3410,26.6003,3985.90,9534.27,-1790.13,8068.91,11217.83,-3971.69
5.3510,22.8232,3808.89,9780.33,-1881.05,3100.86,11174.68,-2244.74
5.3620,18.4362,3075.75,9698.66,-570.66,143.18,9235.90,4670.91
5.3720,14.4623,3274.16,9854.02,-440.25,4067.80,10734.36,81.40
5.3820,10.2106,3942.05,9685.25,-1122.61,6613.60,8728.90,-3852.05
5.3920,6.3524,5007.68,9397.49,-1532.58,9270.23,7766.87,-3172.45
5.4010,2.4966,5499.31,9036.69,-2026.28,7465.80,6992.14,-4001.11
5.4120,-1.7354,4677.95,8496.71,-2204.92,1392.54,5436.81,-2919.44
5.4220,-6.6088,5372.42,8533.74,-1743.93,8150.31,8743.61,100.03
5.4320,-10.8392,5162.30,8484.76,-1534.79,4321.79,8207.19,-698.23
5.4420,-15.2075,4990.27,8474.01,-1375.32,4302.18,8413.13,-737.46
5.4530,-19.7143,4337.81,8495.77,-1250.50,1727.93,8619.06,-751.19
5.4630,-24.2760,4497.20,8281.70,-1804.35,5134.76,7068.63,-4019.75
5.4730,-28.7292,5328.24,7727.87,-3075.30,8652.41,4589.51,-8159.13
5.4830,-32.8335,4761.16,7596.62,-2096.61,2492.85,6852.89,1818.15
5.4940,-36.2105,4880.01,7829.72,-1119.29,5355.41,9150.59,2789.99
5.5040,-40.4854,3714.54,8168.48,-1119.29,-947.32,10088.10,7254.96
5.5140,-46.1658,4340.25,8004.24,-1039.00,6843.08,7073.54,-717.85
5.5240,-49.8061,3985.29,7953.63,-2069.78,2565.42,7666.84,-6192.90
5.5350,-54.6223,3543.23,8329.84,-598.28,1775.00,10461.73,5287.75
